what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1382016356309
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1382016357678
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1382016372736
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1382016412738
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineEnd",1382016481250
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1382016491106
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1382016522167
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1382016555179
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1382016555700
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1382016559632
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1382016566690
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.cut",1382016581544
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1382016583771
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1382016586861
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1382016587726
executed,command,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1382016592437
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1382016594089
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1382016594902
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1382016597684
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1382016600735
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1382016601462
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1382016602842
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1382016607056
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1382016607611
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1382016615364
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1382016615461
